子系统,文件,文件职责,当前状态,剩余功能/缺口,依赖或阻塞,优先级,备注
docs,README.md,仓库总说明,文档/脚本支撑,需持续与真实实现保持同步，不能替代逐模块验收结论,文档需随实现持续更新,P3,入口说明
docs,docs/README.md,docs 目录说明,文档/脚本支撑,仍需持续跟随当前审计与验收结构演进,文档维护,P3,文档索引
docs,docs/spec/00-product-overview.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/01-status-taxonomy.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/02-domain-model-overview.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/10-auth-and-tenant.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/20-product-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/21-partner-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/22-sales-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/23-purchase-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/24-finance-domain.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/25-inventory-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/26-membership-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/27-media-attachments-domain.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/28-agent-domain.md,规格/计划文档,文档/脚本支撑,需持续与真实实现、验收结论和部署现状同步,文档维护需跟随代码与验收推进,P3,文档类文件
docs,docs/spec/29-sync-import-migration.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/30-api-contracts.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/31-android-impact.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/32-rollout-and-compatibility.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/40-batch-development-master-plan.md,总开发批次主计划文档,部分完成,仍包含大量待验证/待验收项，是当前剩余工作的总索引,真机、联调、发布、RBAC、AI 等多项未完成,P0,总计划基线
docs,docs/spec/41-b11-acceptance-matrix.md,规格/计划文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P1,文档类文件
docs,docs/spec/42-android-liquid-glass-ui-refactor-plan.md,Android UI 重构基线文档,部分完成,仍保留待设备复核、采购退货、库存盘点、采购入库等合同缺口,真机比对与后端合同补齐,P1,Android UI 真源之一
docs,docs/spec/43-ai-assistant-requirements.md,AI 助手真实需求与验收基线,部分完成,大量能力仍是 partial，需要真实 HTTP/SSE/真机/性能证据和草稿执行闭环,AI 端到端证据与生产验收,P1,AI 主需求基线
docs,docs/spec/44-ai-assistant-review-gates.md,AI 助手审查门禁文档,部分完成,门禁已定义，但很多 gate 仍待真实验收结果支撑,AI 真实验收未闭环,P1,AI 审核清单
docs,docs/technical-analysis/server/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/api/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/api/common/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/api/controller/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/api/dto/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/entity/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/infrastructure/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/infrastructure/ai/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/infrastructure/config/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/infrastructure/security/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/repository/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/resources/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
docs,docs/technical-analysis/server/service/README.md,技术分析文档,部分完成,文档记录的能力仍有待验证/待补项，需继续推动对应实现或验收闭环,对应业务能力尚未完全完成,P2,文档类文件
android,master-goods-android/app/.DS_Store,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/DEVELOPMENT.md,Android 应用总入口开发说明,部分完成,明确保留了 AI、dashboard/reports、真机与发布验收未完成项,真机、性能、发布验收缺失,P1,全局真实边界说明
android,master-goods-android/app/build.gradle.kts,构建配置,已完成待联调,构建配置已在用，剩余工作主要在真实 release/benchmark/部署验证,发布和构建环境验证,P3,构建配置
android,master-goods-android/app/proguard-rules.pro,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/debug/res/xml/network_security_config.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/AndroidManifest.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/MainActivity.kt,Android Kotlin 模块,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/ZhihuijiApp.kt,Android Kotlin 模块,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/navigation/AppNavGraph.kt,Android Kotlin 模块,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/navigation/ArchivesScreen.kt,Android 页面,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/navigation/DocumentsScreen.kt,Android 页面,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/navigation/MainNavGraph.kt,Android Kotlin 模块,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/navigation/MainScreen.kt,Android 页面,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/security/RuntimeSecurityGuard.kt,Android Kotlin 模块,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/java/com/zhihuiji/app/security/SignatureIntegrityChecker.kt,Android Kotlin 模块,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/res/values/strings.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/res/values/themes.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/res/xml/backup_rules.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/main/res/xml/data_extraction_rules.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/release/AndroidManifest.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
android,master-goods-android/app/src/release/res/xml/network_security_config.xml,功能文件,已完成待联调,Android 文件已承担现有能力，剩余工作主要是联调、真机和发布验收,真机与发布验收,P3,Android 承载文件
