序号,触发条件,调用方,被调方,调用类型,运行条件,调用方位置,被调方位置,跨文件影响,发现问题编号,备注
1,HTTP POST /v1/auth/login,AuthController#login,AuthService#login,内部,用户提交手机号密码,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/AuthController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:68-77,是,,
2,HTTP POST /v1/auth/register,AuthController#register,AuthService#register,内部,用户提交注册信息,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/AuthController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:48-66,是,,
3,AuthService#register,AuthService#register,AuthService#isVerifyCodeValid,内部,注册时校验验证码,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:49,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:151-166,否,,
4,AuthService#login,AuthService#login,AuthService#createSession,内部,密码校验通过后建立会话,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:75,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:122-133,否,,
5,AuthService#createSession,AuthService#createSession,SessionAccessService#cacheSession,缓存,会话创建后写入缓存,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java:131,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SessionAccessService.java,否,,
6,任意 HTTP 请求,SecurityFilterChain,TokenAuthenticationFilter#doFilterInternal,过滤器,带 Authorization 头的请求,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/config/SecurityConfig.java:82,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/security/TokenAuthenticationFilter.java,是,,
7,任意 /v1/admin/** 请求,SecurityFilterChain#access,AdminAuditService#recordSecurityDenial,内部,local 之外匿名访问被拒,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/config/SecurityConfig.java:60-81,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,是,,
8,控制器方法命中 @RequireStorePermission,StorePermissionInterceptor#preHandle,CurrentOwnerService#requirePermissions,拦截器,带 Authorization 头且方法标注权限,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/security/StorePermissionInterceptor.java:37-39,Code/backend/src/main/java/com/zhihuiji/backend/application/service/CurrentOwnerService.java:74-92,是,,
9,HTTP POST /v1/sale-orders,SaleOrderController#create,SaleOrderService#create,内部,用户创建销售订单,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/SaleOrderController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:54-57,是,,
10,SaleOrderService#create,SaleOrderService#create,SaleOrderService#createForOwner,内部(同类自调用),创建订单,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:56,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:59-130,否,,
11,SaleOrderService#createForOwner,createForOwner,ProductRepository#findByIdForUpdate,DB(悲观锁),逐行扣减库存,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:71,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/product/ProductRepository.java:120-122,是,,
12,SaleOrderService#createForOwner,createForOwner,CustomerRepository#findByIdAndOwnerUserId,DB,订单有客户时累加应收余额,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:121,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/CustomerRepository.java,是,,
13,HTTP POST /v1/sale-orders/{id}/payments,SaleOrderController#addPayment,SaleOrderService#addPaymentForOwner,内部,用户收款,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/SaleOrderController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:248-291,是,,
14,SaleOrderService#addPaymentForOwner,addPaymentForOwner,SaleOrderRepository#findByIdAndOwnerUserId,DB(无锁),收款前读取订单,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:250,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/SaleOrderRepository.java:19,是,,
15,HTTP PUT /v1/sale-orders/{id}/cancel,SaleOrderController#cancel,SaleOrderService#cancelForOwner,内部,用户取消订单,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/SaleOrderController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:342-392,是,,
16,SaleOrderService#cancelForOwner,cancelForOwner,ProductRepository#findByIdForUpdate,DB(悲观锁),取消时归还库存,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:353,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/product/ProductRepository.java:120-122,是,,
17,HTTP POST /v2/sale-orders,V2SaleOrderController#create,V2SaleOrderService#create,内部,v2 创建销售订单,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/v2/V2SaleOrderController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2SaleOrderService.java:58-72,是,,
18,V2SaleOrderService#create,V2SaleOrderService#create,SaleOrderService#create,内部跨层复用,v2 复用 v1 服务,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2SaleOrderService.java:63,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java:54-57,是,,
19,V2SaleOrderService#updateDraft,updateDraft,ProductRepository#findByIdForUpdate,DB(悲观锁),编辑草稿重建明细,"Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2SaleOrderService.java:149,162",Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/product/ProductRepository.java:120-122,是,,
20,HTTP POST /v1/sync/upload,SyncController#upload,SyncService#upload,内部,客户端上传变更,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/SyncController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SyncService.java,是,,
21,HTTP POST /v2/sync/*,V2SyncController,V2SyncService#applyChange,内部,v2 同步写入,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/v2/V2SyncController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2SyncService.java:1156-1200,是,,
22,V2SyncService#applyChange,applyChange,*Repository#findByIdAndOwnerUserIdForUpdate,DB(悲观锁),同步冲突合并时加锁,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2SyncService.java:1156-1168,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/SaleOrderRepository.java:21-26,是,,
23,定时/轮询,V2ImportJobWorkerService#poll,ImportJobRepository#findByStatusAndLastHeartbeatAtBefore,"DB(系统级,无 owner 过滤)",后台 worker 认领待处理导入任务,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2ImportJobWorkerService.java:55,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/ImportJobRepository.java:28-29,是,,
24,HTTP POST /v1/admin/demo/seed,AdminController#seedDemo,DemoDataService#seed,内部,管理员灌演示数据,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/AdminController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/DemoDataService.java,是,,
25,HTTP POST /v2/agent/chat,V2AgentController#chat,V2AgentAiService#chat,内部,用户发起 Agent 对话,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/v2/V2AgentController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2AgentAiService.java,是,,
26,V2AgentAiService#chat,V2AgentAiService,ToolPlanner#plan,内部,Agent 需要选择工具,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2AgentAiService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/agent/component/ToolPlanner.java,是,,
27,V2AgentAiService,V2AgentAiService,LongCatAnthropicClient,HTTP出站,调用 LLM Provider,Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2AgentAiService.java,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/ai/LongCatAnthropicClient.java,是,,
28,HTTP GET /v1/admin/users,AdminController#listUsers,AdminService#listUsers,内部,管理员查询用户,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/AdminController.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AdminService.java:86-87,是,,
29,AdminService#listUsers,AdminService#listUsers,UserRepository#searchByKeyword,"DB(跨租户,无 owner 过滤)",管理员按关键词搜索用户,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AdminService.java:86,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/UserRepository.java:14-22,是,,
30,AdminService#listUsers,AdminService#listUsers,SessionRepository#countActiveSessionsByUserIds,DB(按传入 userIds),统计活跃会话数,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AdminService.java:95,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/SessionRepository.java:20-22,是,,
31,Web 路由进入,router 守卫,session.hasPermission,内部,页面渲染前鉴权,Code/frontend/web/src/app/router/index.ts,Code/frontend/web/src/app/stores/session.ts,是,,
32,Web 登录,LoginPage#submit,session.login,Store action,用户提交登录,Code/frontend/web/src/pages/auth/LoginPage.vue,Code/frontend/web/src/app/stores/session.ts,是,,
33,Web 任意 API 调用,页面 fetch,shared/api/client.ts#request,HTTP出站,组件发起请求,Code/frontend/web/src/pages/**/*.vue,Code/frontend/web/src/shared/api/client.ts,是,,
34,Web Agent 页,AgentPage.vue,/v2/agent/chat,HTTP出站(SSE),用户发送消息,Code/frontend/web/src/pages/agent/AgentPage.vue,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/v2/V2AgentController.java,是,,
35,Android 启动,MainActivity#onCreate,ZhihuijiApp DI 图,生命周期,应用冷启动,Code/frontend/android/app/src/main/java/com/zhihuiji/MainActivity.kt,Code/frontend/android/app/src/main/java/com/zhihuiji/ZhihuijiApp.kt,否,,
36,Android 登录,AuthViewModel#login,AuthRepository#login,内部,用户点击登录,Code/frontend/android/feature/auth/src/main/java/com/zhihuiji/feature/auth/AuthViewModel.kt,Code/frontend/android/data/auth/src/main/java/com/zhihuiji/data/auth/AuthRepository.kt,是,,
37,Android 任意请求,ZhihuijiApi 接口,core:network OkHttp 拦截器,HTTP出站,Retrofit 调用,Code/frontend/android/core/network/src/main/java/com/zhihuiji/core/network/ZhihuijiApi.kt,Code/frontend/android/core/network/src/main/java/com/zhihuiji/core/network/*.kt,否,,
38,Android Agent 对话,AgentChatViewModel,AgentRepository#streamChat,HTTP出站(SSE),用户发送消息,Code/frontend/android/feature/agent/src/main/java/com/zhihuiji/feature/agent/conversation/AgentChatViewModel.kt,Code/frontend/android/data/agent/src/main/java/com/zhihuiji/data/agent/AgentRepository.kt,是,,
39,Android 本地持久化,*Repository,core:database EntityMappers#toEntity,DB(Room),同步远端数据落库,Code/frontend/android/data/**/*.kt,Code/frontend/android/core/database/src/main/java/com/zhihuiji/core/database/EntityMappers.kt,是,,
40,iOS 启动,ZhihuijiIOSApp#init,AppEnvironment.live,生命周期,应用启动读取 baseURL,Code/frontend/ios/ZhihuijiIOS/App/ZhihuijiIOSApp.swift,Code/frontend/ios/ZhihuijiIOS/App/AppEnvironment.swift:14-18,否,,
41,iOS 任意请求,APIClient#send,AuthTokenStore#readAccessToken,内部,请求前取令牌,Code/frontend/ios/ZhihuijiIOS/Core/API/APIClient.swift,Code/frontend/ios/ZhihuijiIOS/Core/Auth/AuthTokenStore.swift,是,,
42,iOS 令牌读取,AuthTokenStore#read,SecItemCopyMatching,Keychain,读取访问令牌,Code/frontend/ios/ZhihuijiIOS/Core/Auth/AuthTokenStore.swift,Code/frontend/ios/ZhihuijiIOS/Core/Auth/AuthTokenStore.swift,否,,
43,admin-console 加载,init(),request('/v1/admin/summary'),HTTP出站,页面初始化,Code/backend/src/main/java/com/zhihuiji/backend/../resources/static/admin-console/app.js,Code/backend/src/main/java/com/zhihuiji/backend/api/controller/AdminController.java,是,,
44,admin-console 渲染用户,renderUsers(),userTableBody.innerHTML,DOM,用户列表返回后,Code/backend/src/main/java/com/zhihuiji/backend/../resources/static/admin-console/app.js:110-127,Code/backend/src/main/java/com/zhihuiji/backend/../resources/static/admin-console/app.js:195-202,否,,
