编号,级别,类型,文件路径,类或对象,函数或语句,起始行-结束行,触发条件,当前行为,期望行为,证据,影响,修改建议,可信度,需运行时验证,需产品确认,详细说明
ISSUE-001,P1,数据/精度,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService,createForOwner / updateDraft / addPaymentForOwner / cancelForOwner,"68-130,218-241,255-290,362-391",任何产生金额的销售订单操作（下单、改价、收款、取消）,金额字段（subtotal/total/paid/discount/amount/balance）全程使用 Java double 做加减乘与比较，并用 0.000001 容差判定等值,金额应使用 BigDecimal（或整数分）做定点计算，避免二进制浮点误差,"第93行 entity.setAmount(item.quantity() * item.unitPrice())；第95行 subtotal += entity.getAmount()；第100行 double total = Math.max(0.0, subtotal - discount)；第273行 Math.abs(order.getPaidAmount()-order.getTotalAmount())<0.000001",累计误差会导致订单金额与客户应收余额对不上、报表合计与明细不平、'是否已付清'判定边界抖动。全项目仅 9 个文件使用 BigDecimal，且集中在海报/积分，核心交易域全部为 double,"将金额列与 DTO 迁移到 BigDecimal（数据库 numeric(18,4)），或在服务端统一改为 Long 分；同步修改所有 Repository/Entity/DTO 与三端解析",高,是,否,这是本次审阅影响面最大的问题。证据：grep 统计全后端仅 9 个文件出现 BigDecimal，且无一是订单/收款/财务链路；SaleOrderService 中 13 处金额运算全部为 double。同类问题在 PurchaseOrderService、PayOrderService、FinanceRecordService、V2PurchaseReturnService 等处普遍存在。数据库侧 money 列类型为 REAL/double precision，与 Python 迁移脚本 migrate_kingdee_zhihuiji.py 的 REAL 一致，属于跨层一致性问题，需一并改造。
ISSUE-002,P1,安全/认证,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java,AuthService,issueVerifyCode / isVerifyCodeValid / register,"135-149,151-166,48-66",用户调用 POST /v1/auth/verify-code 后调用 /v1/auth/register,"当配置 auth.invite-code 非空时，下发的'验证码'就是邀请码本身（第142行 put(inviteCode)），校验时直接 inviteCode.equals(verifyCode)（第153行）；README 公开该邀请码为 021218。当 invite-code 为空时，生成随机 6 位码仅存入内存 ConcurrentHashMap，接口只返回 {success,expireSeconds}，不返回也不发送验证码",验证码应为一次性、按手机号下发、有尝试次数限制；邀请码与短信验证码应是两条独立机制,"第140-143行 if(!inviteCode.isBlank()){ verificationCodes.put(key, new VerificationCodeEntry(inviteCode, expireAt)); }；第152-153行 if(!inviteCode.isBlank()){ return inviteCode.equals(verifyCode); }；README.md:141 '邀请码注册码固定：021218'；application.yml:37 invite-code: ${AUTH_INVITE_CODE:}（默认空）",两种互斥缺陷：(1) 开启邀请码时，任何人只要知道公开值 021218 即可注册任意手机号，验证码形同虚设、无速率限制、无手机号绑定；(2) 关闭邀请码时，验证码永远无法送达用户，注册链路实际不可用。两者都影响线上账号体系,拆分两套机制：邀请码走一次性核销（记录已使用邀请码）；短信验证码接入真实通道并加失败次数/频率限制、移除内存 Map 或改为 Redis；禁止在文档中公开生产邀请码,高,是,是,该问题需产品确认业务意图：若'邀请码'本就是公开的注册门槛，则应明确其安全边界并补速率限制；若本意是短信验证码，则当前实现等于功能缺失。运行时需验证生产 AUTH_INVITE_CODE 实际取值。
ISSUE-003,P1,并发/数据一致性,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService,addPaymentForOwner / cancelForOwner / updateDraft / updateStatus,"248-291,342-392,210-241,293-328",同一订单并发收款、并发取消，或收款与取消同时发生,这四个写方法都用 SaleOrderRepository.findByIdAndOwnerUserId（第19行，无锁）读取订单，再基于读到的 paidAmount/totalAmount 做 read-modify-write 后 save。仓库中已提供带 @Lock(PESSIMISTIC_WRITE) 的 findByIdAndOwnerUserIdForUpdate（第21-26行），但仅被 V2SyncService 使用,对订单的金额/状态变更必须加行级悲观锁或使用乐观锁版本号,"第250行 saleOrderRepository.findByIdAndOwnerUserId(orderId, ownerUserId)（无锁）；SaleOrderRepository.java:21-26 @Lock(LockModeType.PESSIMISTIC_WRITE) findByIdAndOwnerUserIdForUpdate；grep 结果：该方法在业务写路径零调用，仅在 V2SyncService.java:1162 使用；第272-275行 order.setPaidAmount(order.getPaidAmount()+amount) 为典型读改写",并发收款会丢失更新（两笔收款只记一笔金额）；已付订单仍可被取消并生成全额退款；取消与收款交叉会产生负库存或重复退款，直接造成资金与库存账实不符,将 addPaymentForOwner / cancelForOwner / updateDraft / updateStatus 切换为 findByIdAndOwnerUserIdForUpdate，或给 SaleOrderEntity 增加 @Version 乐观锁并重试,高,是,否,对比证据充分：同一 Repository 内已存在加锁版本却未使用，属于明显遗漏而非设计取舍。库存侧（ProductRepository.findByIdForUpdate，第120-122行）已被 create/cancel 正确使用，说明团队已有加锁规范，只是订单自身未落实。
ISSUE-004,P2,安全/授权,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/config/SecurityConfig.java,SecurityConfig,securityFilterChain,50-85（关键 60-64）,以 local profile 启动且访问 /v1/admin/**,"access 判定为 localProfile || isAuthenticated(authentication)，当 environment.matchesProfiles(""local"") 为 true 时，AuthorizationDecision(true) 对匿名请求直接放行",管理端接口在任何 profile 下都应要求已认证管理员身份,"第51行 boolean localProfile = environment.matchesProfiles(""local"")；第60-64行 requestMatchers(""/v1/admin/**"").access((authentication, context) -> new AuthorizationDecision(localProfile || isAuthenticated(authentication.get())))",若生产或 staging 误用 local profile（application-local.yml 同时关闭 Flyway、改 H2、ddl-auto=update），管理端将对全网匿名开放，可灌演示数据、查全部用户、改 Agent 配置,把 local 放行改为显式开关（如 zhihuiji.admin.allow-anonymous，默认 false），并在启动时对 local+admin 组合打 WARN 日志；或将管理端鉴权下沉到 AdminService 再校验一次,高,是,否,AGENTS.md 与 README 未声明 local profile 可用于任何共享环境，因此实际风险取决于部署方式。但 application-local.yml 同时把数据源切到 H2 且 ddl-auto=update，本身就是'仅本机'语义，二者叠加使误用后果放大。
ISSUE-005,P2,安全/纵深防御,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/security/StorePermissionInterceptor.java,StorePermissionInterceptor,preHandle,21-44（关键 30-36）,命中 @RequireStorePermission 的控制器方法被调用时,第30-32行：请求无 Authorization 头时直接 return true 跳过权限校验；第33-36行：CurrentOwnerService Bean 不可用时也 return true,缺失前置条件时应拒绝请求（fail-closed），而不是放行,"第30-32行 if(!StringUtils.hasText(request.getHeader(""Authorization""))) return true; 第33-36行 if(currentOwnerService==null) return true;",拦截器自身不设防，完全依赖 Spring Security 的 anyRequest().authenticated() 前置拦截。一旦安全链配置变更、端点被加入 permitAll、或拦截器被注册到未受保护的 DispatcherServlet 路径，权限校验将被整体绕过,移除无 Authorization 头时的提前 return true，改为抛 AccessDeniedException；Bean 缺失应视为启动配置错误，直接抛 IllegalStateException,中,是,否,当前实际不可利用（SecurityConfig 第65行 anyRequest().authenticated() 已前置拦截），故定为 P2。但这是典型的 fail-open 写法，与 ISSUE-004 的 local 放行叠加后会形成真实绕过路径。
ISSUE-006,P2,安全/令牌存储,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/web/src/app/stores/session.ts,session store,state 初始化 / persist,"24-34, 370-378",Web 管理端登录后刷新页面或再次进入,token 与 refreshToken 明文存放在 localStorage（键 zhihuiji.web.token / zhihuiji.web.refreshToken）,敏感令牌应放在 httpOnly + Secure + SameSite 的 Cookie，或至少内存中配合短期刷新,第26行 token: localStorage.getItem('zhihuiji.web.token') ?? ''；第27行 refreshToken: localStorage.getItem('zhihuiji.web.refreshToken') ?? ''；PERSISTED_FIELDS 驱动 persist() 写回,任意 XSS、恶意浏览器扩展或本机脚本均可直接读取长期有效的刷新令牌（后端 EXPIRE_MILLIS 为 7 天，AuthService.java:18），进而长期冒充用户,改为 httpOnly Cookie 承载令牌；若必须放前端，至少不持久化 refreshToken 并缩短 access token 有效期,高,否,否,注意：Android 端与 iOS 端均未发现同类问题——iOS AuthTokenStore 正确使用 Keychain（kSecAttrAccessibleAfterFirstUnlockThisDeviceOnly）。Web 是三端中唯一的例外。
ISSUE-007,P2,结构/可维护性,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/v2/V2AgentAiService.java,V2AgentAiService,全类,1-2761,Agent 对话链路编译/维护时,单个类 2761 行，承担对话编排、工具调度、上下文窗口、SSE 流式输出、记忆读写、审计记录等多重职责,按职责拆分为对话编排器、工具执行器、上下文管理器、流式输出器等组件,wc -l 结果：V2AgentAiService.java 2761 行；同类巨型文件还有 ToolPlanner.java 2106 行、V2SyncService.java 2494 行、前端 AgentPage.vue 3336 行、AgentChatScreen.kt 2715 行、AgentChatViewModel.kt 2191 行、shared/api/client.ts 2666 行、iOS AgentChatView.swift 2201 行,Agent 是全项目变更最频繁的模块（最近 30 次提交中多数涉及 Agent 与 Android 流式渲染），巨型类导致改动回归风险高、单测难以隔离（V2AgentAiServiceTest.java 已达 4297 行）,按 agent/component 现有分包继续下沉：把工具执行、上下文窗口计算、流式写出拆成独立组件并逐个补单测,高,否,否,项目已有 agent/component、agent/tool、agent/memory、agent/search 分包，说明拆分意图存在，只是主体类尚未拆分。属于'结构重复/职责过载'而非'多套实现'。
ISSUE-008,P2,安全/配置一致性,/Users/sunyiyang/Desktop/Project/master-goods/Code/frontend/ios/ZhihuijiIOS/App/AppEnvironment.swift,AppEnvironment,defaultBaseURLString / live / environment(from:),"10, 12-15, 17-33（强制解包在第 14 行）",iOS 应用首次启动或用户未配置接口地址时,默认 baseURL 为 http://127.0.0.1:8080（明文 HTTP），且 environment(from:) 同时接受 http 与 https scheme；第14行使用 environment(from: defaultBaseURLString)! 强制解包,默认应为 HTTPS；scheme 白名单应与 Android 的 cleartextTrafficPermitted=false 策略保持一致；避免强制解包,"第10行 static let defaultBaseURLString = ""http://127.0.0.1:8080""；第21行 [""http"",""https""].contains(scheme)；第14行 environment(from: defaultBaseURLString)!",与 AGENTS.md 第145行'Android debug 与 release 均 cleartextTrafficPermitted=false、仅 HTTPS'的策略不一致；用户若把地址指向公网 HTTP 端点，令牌与业务数据将明文传输。强制解包虽当前参数恒为常量不会崩，但属于不安全的写法习惯,将默认值改为 https，并在 scheme 白名单中移除 http（或仅对 127.0.0.1/localhost 例外并显式提示）；第18行改用 guard let + fatalError/断言,中,是,是,需要产品确认 iOS 是否仍需支持局域网 HTTP 联调；当前仓库内未找到 Info.plist（疑由 Xcode 生成未纳入版本控制），无法静态确认 ATS 是否配置了 NSAllowsArbitraryLoads，需在工程侧核对。
ISSUE-009,P2,安全/密钥管理,/Users/sunyiyang/Desktop/Project/master-goods/.ssh-check,（目录）,8220-phase2.key / 8220-readonly.pem / 8220.pem / aliyun-8220-readonly.pem / zhj-124.pem / zhj-8220.pem,目录级,工作区存在即成立,项目根目录下 .ssh-check/ 存放 6 个 SSH 私钥文件（PEM 格式，权限 600）,私钥不应出现在项目工作区；应存放于 ~/.ssh/ 并加入密钥管理器,ls -la .ssh-check 显示 6 个 1679/1674 字节私钥；.gitignore 第12行已忽略 .ssh-check/，故未进入 Git 历史，但物理文件仍在工作区,虽已被 .gitignore 排除、无提交风险，但工作区内的私钥会被备份工具、同步盘、编辑器索引和代码检索工具扫到；一旦 .gitignore 规则被误改即可能入库,将私钥移出项目目录至 ~/.ssh/ 并修正权限；在 CI/本地增加私钥文件扫描钩子（本项目已有 generate_function_audit_ledger.py 之类的脚本基建可复用）,高,否,否,审阅过程未读取、未输出任何私钥内容，仅登记文件名与风险。建议同时轮换 zhj-8220 / 8220 相关密钥对，因为文件长期暴露在工作区。
ISSUE-010,P2,数据/业务规则,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService,addPaymentForOwner / cancelForOwner,"284, 366",收款或取消导致客户余额被扣减到负数时,"使用 Math.max(0.0, customer.getBalance() - amount) 把余额强行截断到 0，静默丢弃负值",余额可以为负（表示预收/多收），或明确拒绝该操作并给出业务错误,"第284行 customer.setBalance(Math.max(0.0, customer.getBalance() - amount)); 第366行 customer.setBalance(Math.max(0.0, customer.getBalance() - unpaid));",客户实际欠款信息被抹掉：当余额不足时，超出的应收凭空消失，导致应收款报表与客户档案对不上，且无法追溯差额何时产生,移除 Math.max 截断，允许负余额并在 UI 上以'预收/欠款'呈现；若业务不允许为负，则改为抛 BusinessException,中,是,是,需产品确认：客户余额是否允许为负（多数进销存场景允许表示预收）。当前实现是'静默截断'，无论业务意图如何都属于缺陷——要么允许要么报错，不应无声丢弃。
