编号,级别,类型,文件,类/函数,行,触发条件,当前行为,期望行为,证据,影响,修改建议,可信度,需运行时验证,需产品确认
P-001,P1,数据正确性/金额精度,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService.createForOwner/updateDraft/addPaymentForOwner/cancelForOwner,"L68-99, L211-247, L249-292, L343-392",任何下单/改折扣/收款/取消流程,金额全程使用 double 运算（subtotal 累加、quantity*unitPrice、余额增减）,金额使用 BigDecimal 或以分为单位的 long 运算，数据库列使用 DECIMAL,L68 double subtotal=0.0; L82 setAmount(item.quantity()*item.unitPrice()); L99 customer.setBalance(getBalance()+total),浮点累加误差在报表汇总、余额、对账时可能产生厘级偏差，长期累计,统一金额类型为 BigDecimal；同步修改实体列定义与 DTO；Android/Web 已分别用 BigDecimal/字符串格式化，后端是缺口,高,是（构造 0.1 类金额验证累加漂移）,否
P-002,P2,安全/认证,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/config/SecurityConfig.java,SecurityConfig.securityFilterChain,L57-67,以 local profile 启动服务,localProfile=true 时 /v1/admin/** 对任意请求（含未认证）放行,local profile 下也至少要求认证，或将管理员放行限定到回环地址,"L57 boolean localProfile = environment.matchesProfiles(""local""); L60-66 AuthorizationDecision(localProfile || isAuthenticated)",若生产误配 local profile，管理端全部暴露,将 local 放行改为仅限 127.0.0.1 来源或删除；部署脚本中禁止 local profile 上线,高,否,是（local 便利性是否有意保留）
P-003,P2,安全/注册验证码,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java,AuthService.issueVerifyCode/isVerifyCodeValid,L135-176,inviteCode 配置非空（当前为 021218）,固定邀请码充当所有手机号、所有类型的验证码，且永不过期不消费、无频率限制；邀请码明文写在 README,验证码一次性消费+按手机号限频；邀请码移出文档入库,L152-155 inviteCode.equals(verifyCode) 直接比对；README.md L141 公开 021218,知晓邀请码者可无限注册账号,为验证码添加一次性消费与限频；邀请码改为环境变量且从文档移除,高,否,是（演示期行为）
P-004,P2,并发/资金一致性,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService.addPaymentForOwner,L249-292,同一订单并发提交两笔收款,订单读取无悲观锁，两次读取同一 paidAmount 均通过 unpaid 校验后各自累加,读取订单时加行锁（如 findByIdForUpdate）或乐观版本校验,L252 findByIdAndOwnerUserId 无锁；库存扣减使用了 findByIdForUpdate（L71）形成对比,超付导致 paidAmount 超过 totalAmount、余额多扣,为收款路径增加行锁；下单/取消已有锁，补齐一致,高,是（并发用例）,否
P-005,P2,并发/库存一致性,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService.cancelForOwner,L343-392,并发两次取消同一订单,取消幂等检查基于无锁读取，两请求可同时通过 CANCELLED 检查并各自回补库存、各记一笔 AUTO-REFUND,先对订单行加锁或用状态 CAS（参照 AgentDraftConfirmService.updateStatusIfCurrent）,L346 findByIdAndOwnerUserId 无锁后 L348 直接判断状态,库存双倍回补、重复退款记录,参照 v2 草稿确认的 CAS 模式改造取消入口,高,是,否
P-006,P2,业务逻辑,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java,SaleOrderService.updateDraft,L211-247,对已完成订单调用改折扣/备注,仅拦截 CANCELLED，可修改 COMPLETED 订单总额，且不校验 paidAmount 与新总额关系,已完成订单禁止改额，或同步校验已付与总额关系并处理余额,L215 仅判断 CANCELLED；L218-224 直接重算 total 并调余额,已完成订单出现 paidAmount>total 或余额与单据不一致,拦截 COMPLETED/CONFIRMED 状态的金额修改,高,否,是（已完成订单是否允许改额）
P-007,P2,安全/权限拦截失效开放,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/security/StorePermissionInterceptor.java,StorePermissionInterceptor.preHandle,L24-42,请求缺 Authorization 头，或 CurrentOwnerService Bean 缺失,两种情况直接放行（fail-open），依赖上游 SecurityConfig 兜底,缺头时按无权限处理（fail-closed），依赖关系改为显式校验,L30-33 缺头 return true；L34-36 Bean 缺失 return true,未来任何 permitAll 路由误挂 @RequireStorePermission 注解即静默失效,改为缺头时抛 AccessDeniedException；Bean 缺失时快速失败,高,否,否
P-008,P2,安全/密钥管理,.ssh-check/（目录）,-,-,任何能读取该项目目录的进程或备份任务,6 个服务器 SSH 私钥（8220.pem、zhj-*.pem 等）存放于项目根目录，权限 600,私钥存放于 ~/.ssh 或专用密钥管理，不与代码库同盘同目录,ls .ssh-check/：8220-phase2.key、8220-readonly.pem、8220.pem、aliyun-8220-readonly.pem、zhj-124.pem、zhj-8220.pem；.gitignore L12 已忽略（未被提交）,误打包/误同步/屏幕共享时泄露服务器凭据,迁移至 ~/.ssh/ 并收紧目录权限；审阅过程未读取文件内容,高,否,否
P-009,P2,会话缓存内存增长,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SessionAccessService.java,SessionAccessService（accessTokenCache/refreshTokenCache/两个黑名单 Map）,L14-115,长期运行、登录/登出频繁,4 个无界 ConcurrentHashMap，过期条目仅在再次被查询时惰性清理,增加定时清理或使用带过期的缓存（Caffeine expireAfterWrite）,L15-19 四个 ConcurrentHashMap；isBlacklisted/isCacheValid 仅惰性移除,内存缓慢增长；单实例部署可接受，多实例或长期运行有风险,引入 Caffeine 或 @Scheduled 清理,中,是（压测观测）,否
P-010,P2,重复实现,Code/backend/src/main/java/com/zhihuiji/backend/application/service/SaleOrderService.java vs v2/V2SaleOrderService.java,v1 订单服务与 v2 订单服务,全文件,维护订单逻辑时,v1（475 行）与 v2 各自实现订单创建/确认/取消；v1 updateStatus 无 DRAFT→CONFIRMED 路径，v2 有（V2SaleOrderService L229）,明确 v1 冻结只修安全、业务演进收口 v2；或将共享状态机抽取,grep CONFIRMED：v1 服务无确认路径；updateStatus L294-320 报错提示需确认但无入口,双份维护成本；v1 API 客户端无法走确认流,v1 标记 deprecated 并在 AGENTS.md 注明演进边界,高,否,是（v1 是否仍有客户端依赖）
P-011,P2,重复实现,SaleOrderService.buildSimplePdf vs application/service/v2/V2SaleReceiptPdfService.java,两套 PDF 生成,SaleOrderService L392-437；V2SaleReceiptPdfService 全文件,导出单据 PDF,v1 手写最小 PDF（4 行 ASCII），v2 另有一套 PDF 服务,合并为一处 PDF 生成组件,两文件分别实现 PDF 对象/xref 拼装,样式与转义逻辑双份维护；v1 仅 ASCII，中文单据名会乱码,统一到 v2 的 PDF 服务并支持中文（TTF 嵌入）,高,否（中文乱码需验证）,否
P-012,P3,安全/用户枚举,Code/backend/src/main/java/com/zhihuiji/backend/application/service/AuthService.java,AuthService.login/register,"L69-92, L48-66",尝试登录/注册他人手机号,『account not found』『phone already registered』与密码错误提示可区分账号是否存在,统一为『手机号或密码错误』,"L71 orElseThrow(""account not found"")；L54 ""phone already registered""",账号枚举（演示系统影响低）,统一错误文案,高,否,否
P-013,P3,数据口径,SaleOrderService.addPaymentForOwner/cancelForOwner,"客户余额 Math.max(0.0, ...) 钳制","L262, L377",余额出现负数（历史漂移或并发）,静默钳为 0，掩盖账目漂移,负余额时告警或拒绝操作，保留审计线索,"L262 customer.setBalance(Math.max(0.0, ...))",对账差异被静默吸收,记录 warn 日志或入审计表,高,否,否
P-014,P3,性能,Code/backend/src/main/java/com/zhihuiji/backend/infrastructure/repository/AgentMemoryRepository.java,findActiveByOwner 等 LIKE 查询,"L41, L64",记忆检索,LOWER(col) LIKE '%kw%' 前置通配符+函数包裹，无法使用索引,数据量增大后改用 pg_trgm/tsvector 或前缀匹配,"L41 LOWER(m.recallText) LIKE LOWER(CONCAT('%', :query, '%'))",记忆表大时全表扫描,当前规模可接受，标记为规模化前改造项,高,否,否
P-015,P3,结构,Code/frontend/web/src/shared/api/client.ts,API 客户端单文件,全文件（2666 行）,维护 API 层,全部端点请求函数集中于单文件,按领域拆分（products/orders/finance/agent…）,wc -l 2666,合并冲突与审查成本高,增量拆分模块，保持导出兼容,高,否,否
P-016,P3,文档漂移,AGENTS.md,Web 可复用资产表,L89-101,按文档复用资产,AGENTS.md 称 readQueryId/sameEntityId 位于 business.ts，实际位于 Code/frontend/web/src/shared/utils/id.ts,修正文档指向,grep readQueryId business.ts 为 0；id.ts 中有定义,新代码可能导错路径（编译即发现，影响小）,更新 AGENTS.md 资产表,高,否,否
P-017,P3,工程卫生,Code/backend/bin/（目录）,-,-,本地编译,816 个 .class 编译产物残留在源码树 bin/main（未被 Git 跟踪，.gitignore 已忽略 bin/）,清理该目录，统一构建输出到 tmp/build,find Code/backend/bin -name '*.class' | wc -l = 816,检索噪声、误引用风险,可安全删除（本审阅未删除）,高,否,否
P-018,P3,目录职责,tmp/ 与 Temp/,-,-,构建与临时产物归档,两个缓存/临时目录并存（tmp 44466 文件、Temp 5854 文件），README 仅描述 tmp/,明确 Temp/ 的定位或并入 tmp/,README 目录说明仅列 tmp/,目录地图与实际不符,补充 README 或合并目录,中,否,是
P-019,P3,演示数据安全,Code/backend/src/main/java/com/zhihuiji/backend/application/service/DemoDataService.java,DemoDataService.clearAll,L158-178,local profile 调用 seed(reset=true),deleteAll 用户/会话/全部业务表（不分是否演示数据）,仅清理演示账号数据，或加显著告警,L164-175 连续 deleteAll 包含 userRepository/sessionRepository,本地手工注册的测试数据会被清空（仅 local profile）,文档标注或按手机号白名单清理,高,否,否
P-020,P3,正面确认（无问题）,Code/frontend/ios/ZhihuijiIOS/Core/Auth/AuthTokenStore.swift,AuthTokenStore,L1-50+,-,令牌使用 iOS Keychain 存储，正确,-,SecItemCopyMatching/kSecClassGenericPassword,-,-,高,否,否
